community_district,year.x,price_single_family_home,price_condominium,single_family_sale_volume,condominium_sale_volume,percent_public_housing,serious_crime,english_scores,math_scores,subway_access,park_access,code,code_prefix,code2,code_suffix,code3,cd_short_title,lots_parking,acres,area_sqmi,borocd,cd_tot_bldgs,cd_tot_resunits,count_hosp_clinic,count_libraries,count_parks,count_public_schools,crime_count,crime_count_boro,crime_count_nyc,crime_per_1000,crime_per_1000_boro,crime_per_1000_nyc,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_5_9,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_over,female_under_5,fp_100_area,fp_100_bldg,fp_100_cost_burden,fp_100_cost_burden_value,fp_100_mhhi,fp_100_mortg_value,fp_100_openspace,fp_100_ownerocc,fp_100_ownerocc_value,fp_100_permortg,fp_100_pop,fp_100_rent_burden,fp_100_rent_burden_value,fp_100_resunits,fp_500_area,fp_500_bldg,fp_500_cost_burden,fp_500_cost_burden_value,fp_500_mhhi,fp_500_mortg_value,fp_500_openspace,fp_500_ownerocc,fp_500_ownerocc_value,fp_500_permortg,fp_500_pop,fp_500_rent_burden,fp_500_rent_burden_value,fp_500_resunits,lep_rate,lep_rate_boro,lep_rate_nyc,lot_area_commercial_office,lot_area_industrial_manufacturing,lot_area_mixed_use,lot_area_open_space,lot_area_other_no_data,lot_area_parking,lot_area_public_facility_institution,lot_area_res_1_2_family_bldg,lot_area_res_multifamily_elevator,lot_area_res_multifamily_walkup,lot_area_transportation_utility,lot_area_vacant,lots_commercial_office,lots_industrial_manufacturing,lots_mixed_use,lots_open_space,lots_other_no_data,cartodb_id,lots_public_facility_institution,lots_res_1_2_family_bldg,lots_res_multifamily_elevator,lots_res_multifamily_walkup,lots_total,lots_transportation_utility,lots_vacant,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_5_9,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_over,male_under_5,mean_commute,mean_commute_boro,mean_commute_nyc,neighborhoods,over65_rate,over65_rate_boro,over65_rate_nyc,pct_asian_nh,pct_bach_deg,pct_bach_deg_boro,pct_bach_deg_nyc,pct_black_nh,pct_clean_strts,pct_clean_strts_boro,pct_clean_strts_nyc,pct_foreign_born,pct_hh_rent_burd,pct_hh_rent_burd_boro,pct_hh_rent_burd_nyc,pct_hispanic,pct_other_nh,pct_served_parks,pct_white_nh,pop_2000,pop_2010,pop_acs,pop_change_00_10,poverty_rate.x,poverty_rate_boro,poverty_rate_nyc,puma,shared_puma,shared_puma_cd,son_issue_1,son_issue_2,son_issue_3,total_lot_area,under18_rate,under18_rate_boro,under18_rate_nyc,unemployment_boro,unemployment_cd,unemployment_nyc,num,cd_let,cd_lett,total_lowinc,ownshare,total_units,lowshare,sub_borough_area,year.y,homeowner_income,renter_income,poverty_rate.y,population,home_ownership_rate,fha_va_backed_loans,lmi_borrowers,housing_units,rent_burden,choice_vouchers,percent_asian,percent_black,percent_hispanic,percent_white
BK 06 - Park Slope/Carroll Gardens,2017,2679780.213,1306449.285,40,380,0.12257695,10.62945879,0.697648376,0.633259912,0.910339346,0.854779684,BK06,BK,3,6,306,Brooklyn CD 6,231,1962.7,3.1,306,14234,54104,17,5,22,29,1116,28276,96515,9.79208,11.2,11.8,2,1.7,2.5,5.1,6.7,5.6,4.4,3.6,3.2,2.7,2.5,2.4,1.9,1.3,0.8,0.9,0.7,4.1,0.98,1354,0.262125903,508,37000,1355,0.104,0.206323858,1938,0.699174407,6940,0.403620715,2720,6171,1.59,2163,0.287533771,745,52000,1764,0.113,0.22824172,2591,0.680818217,14848,0.398018063,3173,8630,7,22.9,23.1,4385743,14072150,4196001,3638690,2081159,2219751,3050763,8104510,3956788,12713062,3693259,2519823,231,544,1667,38,126,30,175,4548,125,5603,13802,100,414,2.5,1.5,1.7,4.5,5.8,5.3,4.5,3.9,2.6,2.5,2.4,2.1,1.6,1.1,0.6,0.5,0.3,4.2,38,42.4,40.8,"Carroll Gardens, Cobble Hill, Columbia St, Gowanus, Park Slope, Red Hook",9.8,12.8,13.6,6.6,72.1,35.2,36.7,6.7,95.9,92.1,95.1,16.5,28.5,45.8,44.5,17.3,4.7,94,64.6,104054,104709,118940,0.01,9.6,20.9,19.8,4005,FALSE,NA,Affordable housing,"Commercial development (retail mix, small business, MWBE support, etc.)",Infrastructure resiliency,64631699,21,23.1,21,5.1,4,4.9,6,Brooklyn ,BK,500,0.043478261,1426,0.350631136,Park Slope/Carroll Gardens,2017,177286.7985,111460.9131,0.0778846,116209,0.428073,0.001453488,0.023255814,50322,0.235,0.014275457,0.0715951,0.0609505,0.171957,0.638677
BK 07 - Sunset Park,2017,1331926.065,818314.1777,27,130,0,8.516200586,0.440658049,0.470419299,0.943932993,0.775341262,BK07,BK,3,7,307,Brooklyn CD 7,146,2390.6,3.7,307,14587,40951,21,2,16,26,1099,28276,96515,7.397846,11.2,11.8,2.8,2.6,3.2,5,4.3,4.1,3.6,3.3,3.3,3.2,2.3,2.3,1.7,1.1,1,0.8,0.7,3.8,0.65,238,0.806451613,50,25000,46,0,0.148325359,62,0.741935484,67,0.60952381,192,0,1.35,367,0.631205674,89,30000,88,0.004,0.158962796,141,0.624113475,2363,0.645021645,447,167,49.3,22.9,23.1,2348621,11062325,3771343,22511978,384456,885496,2908460,12494216,1141849,8943101,12932654,1212798,233,619,1568,37,41,31,165,6378,82,3717,13314,145,183,3.1,2.3,3.1,5.3,5,4.6,3.8,3.5,3.8,3.2,2.6,2.2,1.6,1,0.7,0.6,0.3,4.1,42.9,42.4,40.8,"Sunset Park, Windsor Terrace",9.6,12.8,13.6,32.2,27.3,35.2,36.7,2.5,92.6,92.1,95.1,47.2,50.2,45.8,44.5,41.1,1.6,87,22.6,120063,126230,149960,0.05,27.9,20.9,19.8,4012,FALSE,NA,Affordable housing,Schools,Other,80597297,23.9,23.1,21,5.1,4.5,4.9,7,Brooklyn ,BK,770,0.0875,1034,0.744680851,Sunset Park,2017,98332.21872,49207.89128,0.221474,144332,0.298689,0,0.39527027,46064,0.319,0.029307369,0.327252,0.0244506,0.398927,0.227469
BK 08 - Crown Heights/Prospect Heights,2017,978308.3569,914646.9787,17,360,0.10280848,12.12662355,0.395480226,0.297951583,0.982119997,0.76747461,BK08,BK,3,8,308,Brooklyn CD 8,141,1047,1.6,308,8336,46868,14,1,8,20,1167,28276,96515,10.868352,11.2,11.8,2.6,2.4,4.1,6.1,5.7,4.5,3.4,3.3,2.4,3.7,3.5,2.5,2.2,1.6,1.2,0.7,1,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,7.6,22.9,23.1,835001,839074,2797001,1591922,70811,682736,3088953,5911289,3884985,9885797,564886,602584,116,104,1034,13,43,32,212,2732,186,3145,8037,70,241,2.3,2.7,3.9,5.4,4.5,3.6,3.4,2.8,2.5,2.3,2.6,2.3,1.6,0.9,0.8,0.5,0.4,3.5,41.5,42.4,40.8,"Crown Heights, Prospect Heights, Weeksville",11,12.8,13.6,3.9,39.1,35.2,36.7,58.1,89.9,92.1,95.1,29.3,43.8,45.8,44.5,12.6,3.4,92,21.6,96076,96317,131395,0,20.4,20.9,19.8,4006,FALSE,NA,"Land use trends (zoning, development, neighborhood preservation, etc.)",Parks,Infrastructure resiliency,30755039,19.4,23.1,21,5.1,5.1,4.9,8,Brooklyn ,BK,1515,0.074380165,3180,0.476415094,North Crown Heights/Prospect Heights,2017,127502.1129,48136.84745,0.199759,141725,0.198106,0.032,0.370666667,60247,0.303,0.054167994,0.0557982,0.557382,0.116663,0.241432
BK 09 - South Crown Heights/Lefferts Gardens,2017,1268743.65,602475.9155,44,38,0.008622645,12.42519989,0.368171021,0.250580046,0.904834031,0.70454137,BK09,BK,3,9,309,Brooklyn CD 9,49,1040.6,1.6,309,8764,38953,18,3,2,27,1235,28276,96515,12.042475,11.2,11.8,3.3,2.8,3.3,5.3,4.5,3.7,3.1,3.6,2.7,3.5,3.3,3.3,2.8,2,1.6,1.1,1.3,3.6,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,10.6,22.9,23.1,978467,301454,3030016,525724,41068,472263,6167669,10183235,3633633,4794550,297770,329555,107,20,797,7,10,33,167,4201,205,1253,6950,26,108,2.8,2.7,3.9,5.1,4.3,3.1,2.8,2.4,2.9,2.4,2.6,2.4,1.7,1.3,0.7,0.7,0.5,2.9,42.4,42.4,40.8,"Crown Heights South, Prospect Lefferts Gardens, Wingate",13.7,12.8,13.6,1.9,30.7,35.2,36.7,65.3,91.2,92.1,95.1,41.1,48.1,45.8,44.5,8.9,2.5,91,21.6,104014,98429,110156,-0.05,20.8,20.9,19.8,4011,FALSE,NA,Affordable housing,Schools,Youth and childrens services,30755404,21.7,23.1,21,5.1,6.6,4.9,9,Brooklyn ,BK,1176,0.179487179,2032,0.578740157,South Crown Heights,2017,79143.10793,46357.54912,0.191438,113212,0.173062,0.046357616,0.635761589,48000,0.338,0.035301881,0.018143,0.601818,0.0978695,0.255238
BK 10 - Bay Ridge/Dyker Heights,2017,993594.425,636919.5032,155,37,0,6.843868231,0.607647548,0.626115166,0.743662395,0.597920928,BK10,BK,3,10,310,Brooklyn CD 10,85,2548.9,4,310,24267,53293,14,4,13,18,846,28276,96515,6.60669,11.2,11.8,2.5,2.6,2.7,4,3.9,3.6,3.5,3.5,2.7,3.6,3.4,3.2,3,1.9,1.5,1.3,1.7,3.1,0.99,149,0.277662415,936,56000,1820,0.722,0.399360265,3371,0.53989914,0,0.437037037,1770,0,2.03,163,0.277662415,936,56000,1820,0.773,0.399360265,3371,0.53989914,12,0.437037037,1770,249,28.2,22.9,23.1,2017854,286268,4499943,26275266,23357,412649,12388980,29047735,3271144,7924709,777259,307704,270,41,1836,30,7,34,147,11689,171,2580,17067,76,135,2.4,2.1,2.7,4.3,4.2,3.2,3.3,3.3,2.8,3.6,3.2,3.1,2.2,1.7,1.1,0.8,0.8,3.2,44,42.4,40.8,"Bay Ridge, Dyker Heights, Fort Hamilton",16.1,12.8,13.6,24.5,40.5,35.2,36.7,1.7,97.5,92.1,95.1,39.4,43.5,45.8,44.5,15.9,1.8,81,55.9,122542,124491,124851,0.02,19,20.9,19.8,4013,FALSE,NA,"Land use trends (zoning, development, neighborhood preservation, etc.)",Parks,Senior services,87232868,19.6,23.1,21,5.1,4.5,4.9,10,Brooklyn ,BK,2,1,2,1,Bay Ridge,2017,98894.74603,57471.53968,0.151506,123488,0.419987,0.002309469,0.113163972,52652,0.31,0.010842926,0.282068,0.0305941,0.157853,0.508584
BK 11 - Bensonhurst,2017,827995.3542,611442.7231,92,87,0,6.19295421,0.582513661,0.604012672,0.865140026,0.459774629,BK11,BK,3,11,311,Brooklyn CD 11,95,2368.6,3.7,311,29551,66202,9,2,6,24,1128,28276,96515,5.908536,11.2,11.8,2.3,2.4,2.8,4.1,4,3.6,3.6,3.3,2.6,3.6,3.3,3.2,2.5,1.6,1.4,1.4,1.8,3.6,0.33,1250,0.466784765,1581,35000,1841,0.054,0.411693205,3387,0.543548863,5068,0.527765237,2338,3130,0.77,2781,0.467031713,2047,33000,2290,0.059,0.380006936,4383,0.522473192,16323,0.523758594,3428,7784,47.1,22.9,23.1,4057277,1805034,4640169,2017971,86215,722884,2833018,29856794,2237643,18504272,1854878,853606,416,123,1802,15,10,35,138,12797,127,6032,21810,101,154,2.9,2.6,3,4.2,4.3,3.5,3.3,3,3.1,3.4,3.2,2.8,2.2,1.4,1.2,1,0.9,3.4,46.8,42.4,40.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,12.8,13.6,39.8,29.5,35.2,36.7,1,93.9,92.1,95.1,55.8,48.9,45.8,44.5,14.4,1.5,64,43,172129,181981,191977,0.06,22.5,20.9,19.8,4017,FALSE,NA,"Land use trends (zoning, development, neighborhood preservation, etc.)","Quality of life issues (noise, graffiti, petty crime, etc.)",Street conditions (roadway maintenance),69469761,20.9,23.1,21,5.1,4.4,4.9,11,Brooklyn ,BK,370,0.846153846,373,0.991957105,Bensonhurst,2017,92589.75248,41399.76771,0.17261,205850,0.367448,0.004975124,0.582089552,69030,0.363,0.047496381,0.388749,0.0178382,0.155152,0.404469
BK 12 - Borough Park,2017,1120978.326,752309.9548,87,189,0,4.545882058,0.448207171,0.509032258,0.914528778,0.3964675,BK12,BK,3,12,312,Brooklyn CD 12,138,2292.3,3.6,312,24891,60184,24,4,6,21,874,28276,96515,6.022785,11.2,11.8,4.5,3.5,3.1,3.8,3.2,2.8,2.7,2,4.7,1.8,2.2,2.4,2.4,1.1,0.9,1,1.5,6,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,30.9,22.9,23.1,2421584,1449740,5303717,3696333,121162,604635,4729550,26630620,3463187,14838850,1930151,1126025,448,229,2034,23,31,36,501,10217,210,5042,19348,151,324,4.7,3.9,3.6,3.7,3.8,3,2.9,1.9,4.9,2.3,2.1,2.2,2,1,0.7,0.5,0.8,6.5,36.7,42.4,40.8,"Borough Park, Kensington, Ocean Parkway",11.8,12.8,13.6,14.3,28.7,35.2,36.7,2.3,85.1,92.1,95.1,29.1,61,45.8,44.5,10.8,2,74,70.6,185046,191382,164461,0.03,27.2,20.9,19.8,4014,FALSE,NA,Affordable housing,Traffic,Trash removal & cleanliness,66315554,36.3,23.1,21,5.1,3.5,4.9,12,Brooklyn ,BK,188,0.842105263,243,0.773662551,Borough Park,2017,88942.49664,34532.24686,0.308085,146556,0.376767,0.002840909,0.767045455,45876,0.439,0.133701571,0.157387,0.0183002,0.120418,0.688945
BK 13 - Coney Island,2017,527369.3487,560489.1628,46,99,0.25441542,8.429390667,0.417056075,0.40389016,0.729082973,0.85003583,BK13,BK,3,13,313,Brooklyn CD 13,199,2023.6,3.2,313,7895,46051,14,6,16,25,901,28276,96515,8.662746,11.2,11.8,2.3,2.6,2.8,3,3.2,3.1,3.3,3,2.7,3.5,3.6,3.9,3.7,2.5,3.5,2.1,2.5,3.1,2.57,7466,0.322110793,4047,15000,5554,1.023,0.278927271,12564,0.44205667,84613,0.580296566,16593,43823,4.52,7861,0.321678849,4269,15000,5884,1.023,0.271673934,13271,0.443372768,103452,0.576166296,18155,45976,43.8,22.9,23.1,2839011,667961,3051906,28363944,471480,1611298,4371675,8891287,11727658,4822831,1040312,5802608,252,51,421,75,38,37,117,3534,180,1425,6766,79,395,2.8,2.4,2.5,3.6,2.6,2.9,2.5,2.8,2.8,2.8,2.8,2.7,2.9,1.7,2,1.3,1.3,3.1,46.4,42.4,40.8,"Brighton Beach, Coney Island, Gravesend, Homecrest, Sea Gate, West Brighton",23.4,12.8,13.6,14,36.6,35.2,36.7,11.1,94.5,92.1,95.1,52.5,46.5,45.8,44.5,15.7,2.5,95,56.6,106120,104278,114207,-0.02,24.4,20.9,19.8,4018,FALSE,NA,Infrastructure resiliency,Street conditions (roadway maintenance),Traffic,73661971,19.8,23.1,21,5.1,5.4,4.9,13,Brooklyn ,BK,2467,0.226190476,2867,0.860481339,Coney Island,2017,78020.09146,24617.7031,0.248412,122009,0.278232,0.016806723,0.403361345,51108,0.346,0.154851206,0.111198738,0.125361462,0.187253549,0.554268533
BK 14 - Flatbush/Midwood,2017,1222885.446,608385.5095,151,44,0,8.010506398,0.412520064,0.39514867,0.946582927,0.297115941,BK14,BK,3,14,314,Brooklyn CD 14,61,1886.6,2.9,314,17015,60505,20,5,2,25,1300,28276,96515,8.833473,11.2,11.8,3.2,3,4.1,4.8,4.1,3.4,3.6,3,3.6,3.1,3.3,2.9,2.3,1.4,1.3,0.9,1.2,3.9,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,26.2,22.9,23.1,2472208,178998,3563093,2054014,50165,407180,4734744,26616864,8210101,5541252,1444841,404043,363,16,1197,11,9,38,242,7833,530,1237,11700,81,120,3.2,3.1,3.3,3.9,3.5,3.5,2.9,2.8,3.4,2.6,2.5,2.6,1.9,1.4,0.9,0.6,0.5,4.2,42.1,42.4,40.8,"Ditmas Park, Flatbush, Manhattan Terrace, Midwood, Ocean Parkway, Prospect Park South",12.5,12.8,13.6,10.7,37.3,35.2,36.7,30.7,92.4,92.1,95.1,41.6,50.1,45.8,44.5,15.7,2.7,59,40.3,168806,160664,164081,-0.05,21.5,20.9,19.8,4015,FALSE,NA,Infrastructure resiliency,Traffic,Other,55677503,25.3,23.1,21,5.1,4.9,4.9,14,Brooklyn ,BK,307,0.428571429,704,0.436079545,Flatbush,2017,110349.1064,47959.52906,0.168204,150707,0.238938,0.008645533,0.39481268,60275,0.344,0.06400113,0.0883834,0.288626,0.150185,0.441658
BK 15 - Sheepshead Bay,2017,805066.252,498069.0134,252,153,0.071080722,7.798308801,0.540625,0.571537873,0.580827887,0.656100218,BK15,BK,3,15,315,Brooklyn CD 15,177,3022.2,4.7,315,30643,64260,18,6,11,23,1255,28276,96515,7.90535,11.2,11.8,2.7,2.5,2.8,3.8,3.3,3.4,2.9,3.3,3,3.4,3.6,3.5,3.2,2.1,1.6,1.1,2,3.4,1.43,8900,0.341156748,3256,39000,4774,0.058,0.499947617,9544,0.500209556,36291,0.529976941,4137,22255,3.2,16875,0.338894307,6602,34000,9473,0.063,0.491708524,19481,0.486268672,82392,0.518300087,8964,38748,34.6,22.9,23.1,4883481,392930,4086542,3296236,548531,652778,7705114,45550607,9049844,7262733,2299402,5783815,656,34,1223,53,62,39,248,17712,288,2160,23339,65,661,3,2.6,3.2,3.4,3.2,3.1,2.9,2.9,3,3.2,3.3,3.1,2.8,1.7,1.5,0.9,1.1,3.8,44.9,42.4,40.8,"Gerritsen Beach, Gravesend, Homecrest, Kings Highway, Manhattan Beach, Plumb Beach, Sheepshead Bay",18,12.8,13.6,17.2,39.9,35.2,36.7,3.9,94.2,92.1,95.1,49.1,48,45.8,44.5,10,2,76,66.8,160319,159650,154037,0,18.6,20.9,19.8,4016,FALSE,NA,Traffic,Transit (buses & subways),Trash removal & cleanliness,91512013,22.1,23.1,21,5.1,4.1,4.9,15,Brooklyn ,BK,983,0.807692308,1147,0.857018309,Sheepshead Bay/Gravesend,2017,94188.6752,44608.82293,0.139837,171030,0.46743,0.023121387,0.25433526,65241,0.337,0.056565383,0.208104,0.05233,0.0798164,0.63707
BK 16 - Brownsville,2017,433105.2622,484294.7374,37,12,0.30106524,18.37674053,0.193353474,0.131343284,0.894148605,0.887499293,BK16,BK,3,16,316,Brooklyn CD 16,159,1188.4,1.9,316,8567,35342,9,3,17,34,1624,28276,96515,12.58877,11.2,11.8,3.7,3.5,3.5,5,4,4.4,4.3,3.9,3.1,4.2,3.3,2.8,2.4,1.5,1.3,1,0.7,3.7,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.01,0,0,0,NA,0,0,0,0,0,0,0,0,0,10.1,22.9,23.1,1293167,1383033,2352770,1913162,292397,795944,3220141,7766708,5708857,7123647,1595828,1230708,215,140,623,66,59,40,210,3745,66,2384,8156,97,392,3.9,3.5,4.1,3.6,3.1,2.4,2.6,2.5,3.4,2.9,2.5,1.7,1.5,1,0.7,0.2,0.4,4,47,42.4,40.8,"Broadway Junction, Brownsville, Ocean Hill",10.6,12.8,13.6,1.4,13.6,35.2,36.7,73.1,86.9,92.1,95.1,29.7,54.3,45.8,44.5,21.5,1.2,99,2.6,85343,86468,121459,0.01,29.4,20.9,19.8,4007,FALSE,NA,Affordable housing,Health care services,Youth and childrens services,34676362,26.1,23.1,21,5.1,8.3,4.9,16,Brooklyn ,BK,4414,0.117540029,5393,0.818468385,Brownsville/Ocean Hill,2017,62498.61794,14150.82275,0.398762,111511,0.156631,0.421052632,0.954887218,52301,0.477,0.110865488,0.0190205,0.713257,0.198187,0.0425788
BK 17 - East Flatbush,2017,535012.3827,545203.0947,125,11,0.022265129,12.35410816,0.363847944,0.266768293,0.580608418,0.383433218,BK17,BK,3,17,317,Brooklyn CD 17,156,2153.2,3.4,317,24400,57066,10,4,6,31,1968,28276,96515,14.626822,11.2,11.8,2.9,3.5,3.6,4.3,4.4,3.4,4,4,2.9,3.9,3.8,3.5,3.1,2.2,1.8,1.2,1.2,2.9,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,8.7,22.9,23.1,2188291,1864669,3458305,3506575,366770,838058,4365436,27150186,3514223,11418106,1833109,608694,287,183,1127,16,59,41,260,11896,144,3769,18252,137,218,2.9,3,3.3,3.5,2.9,2.6,3,2.6,3.1,2.9,2.5,2.2,1.6,1.8,1.1,0.7,0.5,3.2,46.7,42.4,40.8,"East Flatbush, Farragut, Flatbush, Northeast Flatbush, Remsen Village, Rugby, Erasmus",15.2,12.8,13.6,1.4,23.7,35.2,36.7,87.1,94.2,92.1,95.1,52.2,50.4,45.8,44.5,7.4,1.7,61,2.5,165753,155252,138044,-0.06,19.5,20.9,19.8,4010,FALSE,NA,Schools,Senior services,Street conditions (roadway maintenance),61112422,21.8,23.1,21,5.1,4.9,4.9,17,Brooklyn ,BK,703,0.41025641,1827,0.384783799,East Flatbush,2017,78995.34261,42678.70207,0.136625,140087,0.346711,0.354716981,0.452830189,57792,0.364,0.042754502,0.0205087,0.870538,0.061783,0.0270261
BK 18 - Flatlands/Canarsie,2017,590551.7634,340879.3181,472,60,0.1546215,9.305425668,0.455862069,0.422786548,0.126636286,0.72518045,BK18,BK,3,18,318,Brooklyn CD 18,197,5410.5,8.5,318,44947,65392,11,6,19,35,1827,28276,96515,9.498186,11.2,11.8,3.4,3.1,3.6,3.7,3.5,3,3.7,3.7,3.2,4.1,3.9,3.8,2.9,2,1.3,1,1.3,3,3.83,8647,0.491240256,6365,36000,9618,2.649,0.550846017,12957,0.742301459,31115,0.508589915,4559,14545,8.71,19797,0.474066893,10758,35000,16996,2.811,0.537481348,22693,0.748953422,77004,0.497960631,8424,32881,12.7,22.9,23.1,8464193,4961217,2352641,49057282,1314633,2736702,8282095,77087820,5232514,9235571,6246302,28488487,546,146,856,49,96,42,230,30334,38,2379,35577,174,532,3.3,3.5,3.3,3.4,3.1,2.8,2.8,2.9,2.9,3,3.2,2.9,2.3,1.3,1,0.6,0.6,3.1,47.5,42.4,40.8,"Bergen Beach, Canarsie, Flatlands, Georgetown, Marine Park, Mill Basin, Mill Island, Paerdegat Basin",14.2,12.8,13.6,4.7,31.1,35.2,36.7,62.5,93.4,92.1,95.1,40.2,42,45.8,44.5,8.2,1.7,77,22.8,194653,193543,211993,-0.01,14.6,20.9,19.8,4009,FALSE,NA,Parks,Infrastructure resiliency,Street conditions (roadway maintenance),203459457,22.9,23.1,21,5.1,4.9,4.9,18,Brooklyn ,BK,65,0.983333333,111,0.585585586,Flatlands/Canarsie,2017,102119.0873,51146.16471,0.0889643,215637,0.568533,0.262148338,0.020460358,75351,0.297,0.024644847,0.0465736,0.621902,0.0876519,0.223672
